# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	466.52
-215.385	3.05263	292.895
-215.385	5.10526	212.782
-215.385	7.15789	160.097
-215.385	9.21053	120.794
-215.385	11.2632	89.4919
-215.385	13.3158	63.3745
-215.385	15.3684	40.9986
-215.385	17.4211	21.4636
-215.385	19.4737	4.10309
-215.385	21.5263	-0.0355985
-215.385	23.5789	0
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	465.96
-203.077	3.05263	292.653
-203.077	5.10526	212.627
-203.077	7.15789	159.995
-203.077	9.21053	120.697
-203.077	11.2632	89.3415
-203.077	13.3158	63.2531
-203.077	15.3684	40.9344
-203.077	17.4211	21.4112
-203.077	19.4737	4.03957
-203.077	21.5263	-0.122484
-203.077	23.5789	-0.101433
-203.077	25.6316	-0.0803872
-203.077	27.6842	-0.0770566
-203.077	29.7368	-0.0571449
-203.077	31.7895	-0.0547319
-203.077	33.8421	-0.0179063
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	464.011
-190.769	3.05263	291.629
-190.769	5.10526	211.792
-190.769	7.15789	159.441
-190.769	9.21053	120.357
-190.769	11.2632	89.16
-190.769	13.3158	63.087
-190.769	15.3684	40.7657
-190.769	17.4211	21.2022
-190.769	19.4737	3.84874
-190.769	21.5263	-0.279228
-190.769	23.5789	-0.266798
-190.769	25.6316	-0.222489
-190.769	27.6842	-0.162688
-190.769	29.7368	-0.122071
-190.769	31.7895	-0.116063
-190.769	33.8421	-0.0941604
-190.769	35.8947	-0.0561566
-190.769	37.9474	-0.0534369
-190.769	40	0

-178.462	1	462.191
-178.462	3.05263	290.651
-178.462	5.10526	211.189
-178.462	7.15789	158.943
-178.462	9.21053	119.792
-178.462	11.2632	88.5681
-178.462	13.3158	62.6308
-178.462	15.3684	40.3706
-178.462	17.4211	20.8912
-178.462	19.4737	3.60093
-178.462	21.5263	-0.506949
-178.462	23.5789	-0.438996
-178.462	25.6316	-0.370983
-178.462	27.6842	-0.305444
-178.462	29.7368	-0.274747
-178.462	31.7895	-0.230375
-178.462	33.8421	-0.203073
-178.462	35.8947	-0.127114
-178.462	37.9474	-0.0722383
-178.462	40	0

-166.154	1	458.307
-166.154	3.05263	288.634
-166.154	5.10526	209.923
-166.154	7.15789	157.888
-166.154	9.21053	118.947
-166.154	11.2632	88.0175
-166.154	13.3158	62.1918
-166.154	15.3684	39.9431
-166.154	17.4211	20.5006
-166.154	19.4737	3.2315
-166.154	21.5263	-0.795176
-166.154	23.5789	-0.744657
-166.154	25.6316	-0.664992
-166.154	27.6842	-0.557055
-166.154	29.7368	-0.467797
-166.154	31.7895	-0.370194
-166.154	33.8421	-0.257792
-166.154	35.8947	-0.164776
-166.154	37.9474	-0.0727577
-166.154	40	0

-153.846	1	452.587
-153.846	3.05263	286.156
-153.846	5.10526	207.857
-153.846	7.15789	156.509
-153.846	9.21053	117.88
-153.846	11.2632	86.9165
-153.846	13.3158	61.1087
-153.846	15.3684	38.9865
-153.846	17.4211	19.6024
-153.846	19.4737	2.45918
-153.846	21.5263	-1.49397
-153.846	23.5789	-1.29972
-153.846	25.6316	-1.10982
-153.846	27.6842	-0.913863
-153.846	29.7368	-0.670429
-153.846	31.7895	-0.511274
-153.846	33.8421	-0.387958
-153.846	35.8947	-0.238292
-153.846	37.9474	-0.126869
-153.846	40	0

-141.538	1	447.355
-141.538	3.05263	282.782
-141.538	5.10526	205.297
-141.538	7.15789	154.299
-141.538	9.21053	116.195
-141.538	11.2632	85.6387
-141.538	13.3158	60.182
-141.538	15.3684	38.2365
-141.538	17.4211	18.8396
-141.538	19.4737	1.69748
-141.538	21.5263	-2.34162
-141.538	23.5789	-2.09763
-141.538	25.6316	-1.88962
-141.538	27.6842	-1.53677
-141.538	29.7368	-1.23268
-141.538	31.7895	-0.98844
-141.538	33.8421	-0.718412
-141.538	35.8947	-0.45666
-141.538	37.9474	-0.217452
-141.538	40	0

-129.231	1	439.771
-129.231	3.05263	278.707
-129.231	5.10526	202.766
-129.231	7.15789	152.299
-129.231	9.21053	114.433
-129.231	11.2632	83.8005
-129.231	13.3158	58.4668
-129.231	15.3684	36.7525
-129.231	17.4211	17.7333
-129.231	19.4737	0.718492
-129.231	21.5263	-3.13057
-129.231	23.5789	-2.818
-129.231	25.6316	-2.45177
-129.231	27.6842	-2.12803
-129.231	29.7368	-1.86155
-129.231	31.7895	-1.59409
-129.231	33.8421	-1.30043
-129.231	35.8947	-0.870132
-129.231	37.9474	-0.446743
-129.231	40	0

-116.923	1	432.394
-116.923	3.05263	274.147
-116.923	5.10526	200.205
-116.923	7.15789	150.044
-116.923	9.21053	112.568
-116.923	11.2632	82.4425
-116.923	13.3158	57.2024
-116.923	15.3684	35.5418
-116.923	17.4211	16.69
-116.923	19.4737	-0.285246
-116.923	21.5263	-4.07937
-116.923	23.5789	-3.68658
-116.923	25.6316	-3.30858
-116.923	27.6842	-2.90678
-116.923	29.7368	-2.47972
-116.923	31.7895	-2.11544
-116.923	33.8421	-1.59824
-116.923	35.8947	-1.19047
-116.923	37.9474	-0.625833
-116.923	40	0

-104.615	1	423.82
-104.615	3.05263	270.407
-104.615	5.10526	196.746
-104.615	7.15789	147.459
-104.615	9.21053	110.403
-104.615	11.2632	80.7944
-104.615	13.3158	55.8061
-104.615	15.3684	34.0904
-104.615	17.4211	15.1952
-104.615	19.4737	-1.67955
-104.615	21.5263	-5.27095
-104.615	23.5789	-4.80066
-104.615	25.6316	-4.20059
-104.615	27.6842	-3.56306
-104.615	29.7368	-3.12076
-104.615	31.7895	-2.5583
-104.615	33.8421	-1.9317
-104.615	35.8947	-1.31392
-104.615	37.9474	-0.712061
-104.615	40	0

-92.3077	1	415.665
-92.3077	3.05263	264.616
-92.3077	5.10526	192.447
-92.3077	7.15789	143.489
-92.3077	9.21053	107.365
-92.3077	11.2632	78.1843
-92.3077	13.3158	53.6944
-92.3077	15.3684	32.4611
-92.3077	17.4211	13.8599
-92.3077	19.4737	-2.88023
-92.3077	21.5263	-6.51351
-92.3077	23.5789	-5.84369
-92.3077	25.6316	-5.24511
-92.3077	27.6842	-4.65747
-92.3077	29.7368	-3.94642
-92.3077	31.7895	-3.10496
-92.3077	33.8421	-2.3191
-92.3077	35.8947	-1.37265
-92.3077	37.9474	-0.861445
-92.3077	40	0

-80	1	407.408
-80	3.05263	260.298
-80	5.10526	189.513
-80	7.15789	141.514
-80	9.21053	105.833
-80	11.2632	76.946
-80	13.3158	52.1874
-80	15.3684	30.9896
-80	17.4211	12.3346
-80	19.4737	-4.1956
-80	21.5263	-7.50456
-80	23.5789	-6.81799
-80	25.6316	-6.01125
-80	27.6842	-5.30716
-80	29.7368	-4.44088
-80	31.7895	-3.7143
-80	33.8421	-2.83941
-80	35.8947	-1.98547
-80	37.9474	-0.951336
-80	40	0

-67.6923	1	399.013
-67.6923	3.05263	255.168
-67.6923	5.10526	185.16
-67.6923	7.15789	138.092
-67.6923	9.21053	103.046
-67.6923	11.2632	74.4983
-67.6923	13.3158	50.2332
-67.6923	15.3684	29.4155
-67.6923	17.4211	10.9609
-67.6923	19.4737	-5.43887
-67.6923	21.5263	-8.76635
-67.6923	23.5789	-7.93988
-67.6923	25.6316	-7.10184
-67.6923	27.6842	-6.04174
-67.6923	29.7368	-5.13444
-67.6923	31.7895	-4.20144
-67.6923	33.8421	-3.2391
-67.6923	35.8947	-2.11188
-67.6923	37.9474	-1.14721
-67.6923	40	0

-55.3846	1	392.199
-55.3846	3.05263	251.648
-55.3846	5.10526	183.403
-55.3846	7.15789	137.12
-55.3846	9.21053	101.418
-55.3846	11.2632	72.9157
-55.3846	13.3158	48.8611
-55.3846	15.3684	28.2034
-55.3846	17.4211	9.77784
-55.3846	19.4737	-6.70222
-55.3846	21.5263	-10.0392
-55.3846	23.5789	-9.05938
-55.3846	25.6316	-7.99569
-55.3846	27.6842	-7.06602
-55.3846	29.7368	-6.07268
-55.3846	31.7895	-4.90214
-55.3846	33.8421	-3.66415
-55.3846	35.8947	-2.40296
-55.3846	37.9474	-1.28025
-55.3846	40	0

-43.0769	1	384.682
-43.0769	3.05263	247.614
-43.0769	5.10526	180.482
-43.0769	7.15789	134.626
-43.0769	9.21053	99.3242
-43.0769	11.2632	71.0674
-43.0769	13.3158	47.2652
-43.0769	15.3684	26.5117
-43.0769	17.4211	8.51188
-43.0769	19.4737	-7.80656
-43.0769	21.5263	-10.8751
-43.0769	23.5789	-9.9576
-43.0769	25.6316	-8.89371
-43.0769	27.6842	-7.82835
-43.0769	29.7368	-6.67795
-43.0769	31.7895	-5.49781
-43.0769	33.8421	-4.21497
-43.0769	35.8947	-3.00723
-43.0769	37.9474	-1.56687
